160 620
0 93 38
0 40 49
0 15 43
0 12 46
0 8 29
0 5 39
0 1 24
0 2 17
0 3 41
1 150 6
1 20 16
1 16 25
1 2 18
1 3 10
2 30 7
2 29 12
2 23 38
2 3 20
3 43 13
3 91 18
3 39 11
3 34 37
3 31 50
4 5 46
4 6 45
4 7 7
5 6 22
5 7 50
6 7 39
8 9 21
8 10 9
9 10 28
11 12 50
11 13 38
11 14 1
12 13 25
12 14 44
13 14 36
17 18 45
17 19 17
17 20 40
17 21 23
18 19 29
18 20 39
18 21 12
19 20 26
19 21 4
20 21 33
22 23 35
22 24 48
22 25 9
22 26 29
22 27 39
22 28 21
23 24 14
23 25 17
23 26 14
23 27 7
23 28 38
24 25 36
24 26 20
24 27 18
24 28 38
25 26 22
25 27 38
25 28 49
26 27 1
26 28 28
27 28 16
32 33 46
32 34 9
32 35 43
32 36 50
33 34 42
33 35 43
33 36 31
34 35 28
34 36 13
35 36 35
37 38 14
37 39 34
38 39 39
40 150 7
40 93 34
40 52 42
40 51 24
40 48 48
40 46 39
40 41 41
40 42 34
40 43 4
40 44 3
41 95 48
41 150 20
41 73 41
41 70 19
41 68 19
41 65 46
41 63 27
41 62 10
41 57 33
41 42 9
41 43 9
41 44 10
42 78 34
42 43 30
42 44 47
43 86 31
43 85 5
43 44 11
44 89 8
45 46 49
47 48 35
49 50 30
49 51 42
50 51 2
52 53 7
52 54 3
52 55 31
52 56 15
53 54 15
53 55 15
53 56 33
54 55 25
54 56 6
55 56 42
57 58 44
57 59 21
58 59 12
60 61 25
60 62 31
61 62 15
63 64 6
66 67 35
66 68 23
66 69 50
67 68 23
67 69 28
68 69 9
71 72 17
71 73 32
71 74 44
71 75 32
71 76 1
71 77 42
72 73 31
72 74 21
72 75 22
72 76 14
72 77 21
73 74 24
73 75 21
73 76 21
73 77 14
74 75 1
74 76 10
74 77 22
75 76 16
75 77 11
76 77 40
78 79 14
78 80 10
79 80 36
81 82 23
81 83 38
81 84 41
81 85 43
82 83 38
82 84 50
82 85 48
83 84 49
83 85 41
84 85 49
87 88 13
87 89 35
88 89 7
90 106 42
90 99 4
90 98 27
90 96 13
90 91 32
90 92 13
90 93 14
90 94 27
90 95 16
91 118 16
91 115 25
91 112 44
91 108 20
91 92 8
91 93 15
91 94 49
91 95 46
92 150 16
92 127 11
92 122 42
92 121 48
92 93 12
92 94 36
92 95 17
93 150 36
93 133 33
93 130 32
93 94 11
93 95 25
94 143 48
94 142 1
94 139 16
94 95 2
95 149 13
95 145 4
96 97 41
99 100 5
99 101 46
99 102 47
100 101 2
100 102 13
101 102 4
103 104 39
103 105 21
103 106 39
103 107 22
104 105 37
104 106 34
104 107 40
105 106 20
105 107 43
106 107 38
108 109 45
108 110 2
109 110 46
111 112 40
111 113 15
111 114 38
112 113 25
112 114 13
113 114 34
115 116 21
117 118 4
117 119 1
118 119 14
120 121 34
122 123 37
122 124 2
122 125 3
122 126 11
123 124 11
123 125 10
123 126 37
124 125 2
124 126 13
125 126 11
127 128 23
129 130 40
129 131 32
130 131 31
132 133 14
132 134 18
133 134 42
135 136 45
135 137 9
135 138 20
135 139 25
135 140 37
136 137 45
136 138 44
136 139 28
136 140 24
137 138 39
137 139 39
137 140 28
138 139 23
138 140 3
139 140 28
141 142 31
144 145 17
144 146 14
144 147 30
144 148 4
145 146 26
145 147 7
145 148 14
146 147 16
146 148 2
147 148 30
150 159 18
150 155 19
150 153 27
151 152 14
151 153 7
152 153 22
154 155 32
154 156 33
154 157 6
155 156 31
155 157 8
156 157 42
158 159 50
92 42 36
44 0 9
92 100 44
0 33 35
3 105 18
92 57 3
40 153 45
44 17 40
93 115 31
2 129 4
43 137 49
1 101 19
90 79 16
3 57 35
0 49 15
93 62 7
2 34 50
43 36 2
91 126 31
44 146 48
91 16 42
1 11 9
92 105 24
94 30 24
95 112 15
43 153 39
94 129 1
90 71 23
40 71 35
90 20 46
44 148 6
90 57 39
40 72 21
3 100 23
95 70 19
42 77 23
0 16 8
3 130 18
41 137 13
42 130 41
0 60 43
44 38 21
90 16 18
93 118 36
93 128 31
3 113 40
92 66 23
150 146 22
93 104 8
43 38 50
1 5 3
150 104 32
90 87 8
44 154 50
3 125 34
44 114 20
43 122 43
40 119 23
92 106 30
94 135 35
92 155 3
1 25 2
43 128 40
0 9 13
95 69 1
41 46 47
92 109 3
42 33 1
2 26 24
40 63 7
92 27 49
2 148 49
90 22 40
91 120 36
0 36 36
42 25 27
40 56 27
95 81 45
42 115 23
2 151 13
0 63 36
94 141 35
91 28 46
41 141 22
91 63 17
40 100 35
0 74 23
3 68 31
42 6 45
91 11 44
91 125 13
95 66 2
95 84 42
93 134 33
42 37 44
150 7 9
1 139 45
43 151 39
90 54 43
95 11 49
44 113 38
0 146 3
41 66 3
91 73 34
95 89 44
93 14 10
91 17 10
42 89 41
41 149 27
150 11 38
150 53 26
43 103 43
3 25 13
42 34 37
93 33 19
3 56 4
2 142 47
3 118 47
95 132 36
2 24 7
1 132 45
1 18 10
40 60 11
41 105 33
150 89 8
91 143 11
92 104 34
93 23 2
93 68 3
44 24 16
44 55 23
94 36 12
40 65 17
44 153 23
2 97 42
94 89 32
44 70 31
150 27 24
42 84 33
2 48 38
94 152 14
95 17 11
0 139 47
92 61 3
41 87 32
94 131 46
150 142 8
94 61 50
94 107 46
2 100 4
94 123 26
95 153 1
94 57 3
44 109 47
3 77 35
1 30 32
1 128 32
150 31 42
44 106 18
2 66 19
90 149 45
2 128 36
83 122 17
100 116 3
58 33 20
115 119 30
105 35 10
57 48 33
17 153 5
55 158 14
17 89 37
14 115 39
16 64 34
129 119 9
151 137 2
142 67 26
101 105 47
61 79 24
129 97 46
57 5 11
135 49 11
22 126 41
62 22 19
5 112 18
36 145 41
103 126 13
49 55 48
146 5 39
6 16 7
117 135 28
59 105 46
33 57 20
30 49 39
145 112 2
